timestamp,price
2024-06-19T12:34:59.796639,9.4
2024-06-19T12:35:14.697696,9.39
2024-06-19T12:35:29.802473,9.39
2024-06-19T12:35:39.231871,9.4
2024-06-19T12:35:55.437627,9.4
2024-06-19T12:36:10.513841,9.4
2024-06-19T12:36:25.310086,9.4
2024-06-19T12:36:40.538144,9.39
2024-06-19T12:36:54.902417,9.39
2024-06-19T12:37:10.663295,9.4
2024-06-19T12:37:26.211995,9.39
2024-06-19T12:37:40.908769,9.4
2024-06-19T12:37:56.309485,9.4
2024-06-19T12:38:11.276931,9.39
2024-06-19T12:38:26.467713,9.39
2024-06-19T12:38:41.506648,9.4
2024-06-19T12:38:56.785588,9.38
