timestamp,price
2024-06-19T12:34:59.655491,10.11
2024-06-19T12:35:14.511646,10.11
2024-06-19T12:35:29.649879,10.11
2024-06-19T12:35:39.247882,10.11
2024-06-19T12:35:55.452754,10.12
2024-06-19T12:36:10.529798,10.11
2024-06-19T12:36:25.483154,10.11
2024-06-19T12:36:40.739626,10.12
2024-06-19T12:36:54.902417,10.12
2024-06-19T12:37:10.866187,10.11
2024-06-19T12:37:26.041240,10.11
2024-06-19T12:37:40.297642,10.12
2024-06-19T12:37:56.231431,10.11
2024-06-19T12:38:11.418576,10.11
2024-06-19T12:38:26.499369,10.12
2024-06-19T12:38:41.552562,10.12
2024-06-19T12:38:56.599123,10.11
