timestamp,price
2024-06-19T12:34:59.529482,9.88
2024-06-19T12:35:14.496384,9.89
2024-06-19T12:35:29.427058,9.89
2024-06-19T12:35:40.080122,9.89
2024-06-19T12:35:55.279948,9.89
2024-06-19T12:36:10.139538,9.89
2024-06-19T12:36:25.451199,9.88
2024-06-19T12:36:40.615309,9.89
2024-06-19T12:36:54.902417,9.9
2024-06-19T12:37:10.851207,9.9
2024-06-19T12:37:25.709845,9.89
2024-06-19T12:37:41.335249,9.89
2024-06-19T12:37:56.168712,9.9
2024-06-19T12:38:11.450262,9.89
2024-06-19T12:38:26.530654,9.88
2024-06-19T12:38:41.662353,9.9
2024-06-19T12:38:56.660627,9.88
2024-06-20T12:32:23.058745,9.87
2024-06-20T12:32:38.779944,9.85
